Method,Al,Ba,Ca,Ce,Distance,Fe,K,La,Li,Mg,Mn,Na,Rb,Si,Sr,Ti,Xan,Y,Si_sd,Li_sd,Mg_sd,K_sd,Ti_sd,Ca_sd,Sr_sd,Rb_sd,Y_sd,Ba_sd,La_sd,Ce_sd,Xan_sd,Fe_sd,Al_sd,Mn_sd,Na_sd,Profile
EPMA,179481.515081375,,128615.035682824,,124.9493965822,3528.1866784328,110.4096543378,,,980.4153540834,-517.3375962468,8155.9746816654,,211504.018004703,,71.9211477253,0.9004568539,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
SIMS,,3.766916776,94897.3264729988,0.1655787594,128.3053804176,,76.3732027667,0.0569176985,0.3829008811,975.8798131302,,,,213182.652709245,130.3932730163,86.7218752283,0.8960899051,0.0926206185,944.2325044584,0.0582548716,4.7746678625,2.756971811,7.1502744415,928.1986575253,4.0737178568,,0.0732230282,0.9537315997,0.0436527993,0.080796814,,,,,,SKU_1_C3_P3
EPMA,180093.323139813,,128750.112237729,,130.0097782965,3244.470411055,165.1994076182,,,983.5559816457,-68.9267156676,8768.7484752851,,214035.17809977,,137.2495235758,0.8938720702,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,177403.696363875,,126649.636074426,,135.0000618972,2973.1910211513,146.1060087477,,,953.4956892634,-88.2881526529,8518.7427023434,,212984.384398254,,121.0672653376,0.8950498405,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,176080.052804918,,126774.706958597,,139.9639814973,3320.6462855839,62.2610832732,,,1022.1408345544,67.3778007088,8766.5229046061,,214874.223782253,,109.6797502811,0.8924206986,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,178661.184207171,,130108.739385207,,144.9542650981,3256.9072885291,-53.9596055034,,,929.7166520057,147.1469210882,8854.8038748734,,211723.244982466,,132.4547803941,0.8939414073,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
SIMS,,4.4926976763,94387.8686123495,0.1607478985,149.2429989214,,77.4887305639,0.0973761308,0.3493175487,969.639567295,,,,212269.6608531,125.7131001169,90.0600405755,0.8985122504,0.0736761202,940.1886642307,0.0531454743,4.7441363351,2.797240892,7.4255083234,923.2156077399,3.927500928,,0.0582460872,1.1374893571,0.0746822308,0.0784395178,,,,,,SKU_1_C3_P3
EPMA,178681.295544732,,130121.603819007,,149.9181846982,3429.4689634822,70.5625610429,,,984.9019648867,351.6036956528,8364.4364685989,,212355.684430042,,91.6994633498,0.8992318494,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,177675.728666676,,128302.001127014,,155.0049304131,3235.9200577916,146.1060087477,,,1037.3953112857,-266.4133729175,8336.2459066649,,214534.398594974,,145.040981246,0.8982575289,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
EPMA,178071.07522347,,128364.893914483,,159.9688500132,2942.8761323082,184.2928064886,,,1013.1676129477,208.3290619617,8438.6221578992,,212689.900398274,,198.3824991423,0.8971817868,,511.9459491458,,45.7941155212,54.6767830809,27.9678978756,420.3353942897,,,,,,,0.0013320298,136.4983775088,530.4789322629,70.467483483,192.6922308331,SKU_1_C3_P3
